"Product Code","Product Name",Variant,Expected,Counted
00001,"ខុលហ្គេតធំ 5 Free 1",,64.0000,
00002,ខុលហ្គេតតូច,,-10.0000,
00005,នេសកាហ្វេ,,-20.0000,
00009,ថ្នាំដុសធ្មេញផ្កាឈូក២,,-15.0000,
00010,ថ្នាំដុសធ្មេញក្លៃឈីតកណ្តាល,,-36.0000,
00011,ច្រាស់ដុសធ្មេញ,,-1.0000,
00016,ទឹកសណ្តែកលែតតាសយតូច,,-2.0000,
00030,ប៉ងតែនដប,,-1.0000,
00038,សាប៊ូទាដុសបន្ទប់ទឹក,,-1.0000,
00081,"ថ្នាំដុសធ្មេញ KODOMO GRAPE",,-4.0000,
00082,"ថ្នាំដុសធ្មេញ KODOMO STAWBERRY",,-2.0000,
00083,"ថ្នាំដុសធ្មេញ KODOMO តូច 0.5+",,-1.0000,
00087,"ថ្នាំដុសធ្មេញ Raiya",,-2.0000,
00092,"នំ Sment+Copp Sky",,-1.0000,
00098,"ស្ករកៅស៊ូ Doublement កំប៉ុង និង Cool Air",,-2.0000,
00117,"សាប៊ូSunsilk កក់សក់សាំងស៊ី SAKURA",,-1.0000,
00128,"ថ្នាំដុសធ្មេញ DARLIE",,-3.0000,
00192,ថ្នាំដុសធ្មេញផ្កាឈូក២ធំ,,-25.0000,
00193,"ថ្នាំដុសធ្មេញ Dentiste Premium",,-2.0000,
00202,"ចាក់ធ្មេញជរ័​ Binaca",,-1.0000,
00209,"ថ្នាំដុសធ្មេញ Smilean ហើមចិញ្ចាញ",,-18.0000,
00212,"ANNA ឡេលាបក្លៀក",,-2.0000,
00220,"ថ្នាំដុសធ្មេញ Sensu Dyne",,-15.0000,
00227,"ថ្នាំដុសធ្មេញ Aqua Fesh",,-6.0000,
00244,"Lix ជូឥដ្ឋ",,-1.0000,
20,តុត្តាផ្កាឈូក,,0.0000,
23128803,sssssssssssss,,2001.0000,
31363274,test,,1.0000,
3339001100516,ដប,,9.0000,
4005808837472,"លុញក្លៀក NIVEA",,-4.0000,
6951981814244,គ្រាប់ត្រណាប់គីមយូបិនកំប៉ុង,,0.0000,
7702018981274,"ឡាមជីលែត Giltette39",,0.0000,
8847100660398,"សាច់ត្រី២០០០ BigFish",,0.0000,
8849300780067,"សាប៊ូដុសខ្លួន Body Scrb",,0.0000,
8849302180063,"ខោទីកនោម (UniDry)",,-1.0000,
8850144065005,ស៊ុបខ្នរ800-ថង,,0.0000,
8850291210464,"គ្រាប់រីករាយ Salted+ស្វាយចាន់ទី Salted",,0.0000,
8850291830402,"សណ្តែកខៀវ Coated peas",,0.0000,
8851111161065,សំលីអនាម័យសូហ្វីយប់,,0.0000,
8851932396813,"សាប៊ូ Viso ពិសេស 900 g",,-2.0000,
8852053014013,"Crmy បាញ់សក់រឹង",,0.0000,
8857125691086,ថ្នាំដុសធ្មេញបាយជូខា,,-19.0000,
8888300814037,"សាប៊ូ Shokubutsu(ធំ)",,-4.0000,
8935212810074,"សាប៊ូដុសខ្លួន Romano",,0.0000,
8936036021660,"នំ Swing ViBittet",,0.0000,
8938507812074,"ពង Bowling",,-3.0000,
