Name,Code,Barcode Symbology,Brand,Location,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Warehouse,Quantity,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
ដំណាប់អំពិលលេរ 120g,1,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,1250,2000,,,,,,,1,,,,,
នំបង្កងថង់ 20g,2,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,667,1000,,,,,,,1,,,,,
នំស្វីង​ Potato 30gតូច,3,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,1400,2000,,,,,,,1,,,,,
នំស្វីង​ Potato 48gធំ,4,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,2500,3000,,,,,,,1,,,,,
នំបំបងលូ Top,5,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,667,1000,,,,,,,1,,,,,
នំសំលាញ់,6,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,625,1000,,,,,,,1,,,,,
នំបង្កងជ្រលក់,7,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,850,1000,,,,,,,1,,,,,
នំដំឡូងថៃតូច,8,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,625,1000,,,,,,,1,,,,,
នំអូរីអូប្រអប់,9,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,625,1000,,,,,,,1,,,,,
នំអូរីអូដើម 133g,10,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,2500,3500,,,,,,,1,,,,,
នំមឹក​ Bento ធំខៀវ,11,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,2000,2500,,,,,,,1,,,,,
នំមឹក​ Bento តូចក្រហម,12,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,583,1000,,,,,,,1,,,,,
នំមឹក​ Bento តូចខៀវ,13,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,583,1000,,,,,,,1,,,,,
នំមឹក​ Bento ធំទឹកក្រូច,14,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,2000,2500,,,,,,,1,,,,,
សរសៃត្រីហ្វីសូរ 80gធំ,15,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,2500,3500,,,,,,,1,,,,,
សរសៃត្រីហ្វីសូរ 25gតូច,16,code128,,Location A,ប្រភេទ នំ,កញ្ចប់,កញ្ចប់,កញ្ចប់,750,1000,,,,,,,1,,,,,
